libtheora 1.1.1-3
libtiff 4.0.3-5
libtiger 0.3.4-4
libtirpc 0.2.5-1
libtool 2.4.5-1
libtxc_dxtn 1.0.1-6
libunique 1.1.6-6
libunistring 0.9.4-1
libupnp 1.6.19-1
libusb 1.0.19-1
libusbmuxd 1.0.9-1
libutempter 1.1.6-2
libutil-linux 2.25.2-1
libuv 1.4.0-1
libva 1.5.0-1
libvdpau 0.9-1
libvdpau-va-gl 0.3.4-1
libvisio 0.1.1-1
libvorbis 1.3.4-1
libvpx 1.3.0-1
libwbclient 4.1.16-1
libwmf 0.2.8.4-12
libwnck 2.31.0-1
libwpd 0.10.0-1
libwpg 0.3.0-1
libwps 0.3.1-1
libx11 1.6.2-2
libx264 1:142.20140826-2
libx86emu 1.1.23.1-1
libxau 1.0.8-2
libxaw 1.0.12-1
libxcb 1.11-1
libxcomposite 0.4.4-2
libxcursor 1.1.14-2
libxdamage 1.1.4-2
libxdmcp 1.1.1-2
libxext 1.3.3-1
libxfixes 5.0.1-1
libxfont 1.5.0-1
libxft 2.3.2-1
libxi 1.7.4-1
libxinerama 1.1.3-2
libxkbcommon 0.5.0-1
libxkbfile 1.0.8-2
libxklavier 5.4-1
libxml2 2.9.2-2
libxmu 1.1.2-1
libxpm 3.5.11-1
libxrandr 1.4.2-2
libxrender 0.9.8-1
libxres 1.0.7-1
libxshmfence 1.2-1
libxslt 1.1.28-3
libxss 1.2.2-2
libxt 1.1.4-1
libxtst 1.2.2-1
libxv 1.0.10-1
libxvmc 1.0.8-1
libxxf86vm 1.1.3-1
libyaml 0.1.6-1
libzip 0.11.2-1
licenses 20140629-1
linux 3.18.6-1
linux-api-headers 3.18.5-1
linux-firmware 20150206.17657c3-1
linux-headers 3.18.6-1
linux-lts 3.14.33-1
llvm 3.5.1-1
llvm-libs 3.5.1-1
lm_sensors 3.3.5-1
logrotate 3.8.8-2
lpsolve 5.5.2.0-3
lua 5.2.3-1
lvm2 2.02.116-1
lxdm 0.5.0-3
lz4 127-1
lzo 2.09-1
m4 1.4.17-1
macchanger 1.6.0-2
make 4.1-1
man-db 2.7.1-1
man-pages 3.78-1
marco 1.8.2-4
mate-applets 1.8.1-2
mate-backgrounds 1.8.0-1
mate-control-center 1.8.3-1
mate-desktop 1.8.1-2
mate-dialogs 1.8.0-2
mate-icon-theme 1.8.0-1
mate-icon-theme-faenza 1.8.0-1
mate-media-pulseaudio 1.8.0-3
mate-menus 1.8.0-1
mate-netspeed 1.8.0-2
mate-notification-daemon 1.8.1-1
mate-panel 1.8.1-2
mate-polkit 1.8.0-1
mate-power-manager 1.8.1-4
mate-screensaver 1.8.1-1
mate-sensors-applet 1.8.0-4
mate-session-manager 1.8.1-3
mate-settings-daemon-pulseaudio 1.8.2-3
mate-system-monitor 1.8.0-2
mate-terminal 1.8.1-1
mate-themes 1.9.3-1
mate-themes-extras 3.14.2-1
mate-user-share 1.8.0-2
mate-utils 1.8.1-1
mcpp 2.7.2-5
mdadm 3.3.2-1
mediterraneannight-theme 2.03-2
mesa 10.4.4-1
mesa-libgl 10.4.4-1
mime-types 9-1
mkinitcpio 18-2
mkinitcpio-busybox 1.21.1-2
mlocate 0.26-5
mobile-broadband-provider-info 20120614-2
mod_dnssd 0.6-6
mozilla-common 1.4-4
mozo 1.8.0-1
mpfr 3.1.2.p11-1
mplayer2-git v2.0.728.g2c378c7-1
mtdev 1.1.5-1
mtools 4.0.18-2
nano 2.2.6-3
ncurses 5.9-7
neon 0.30.1-1
net-tools 1.60.20130531git-1
netbeans 8.0.2-1
netctl 1.10-1
nettle 2.7.1-1
network-manager-applet 1.0.0-1
networkmanager 1.0.0-2
nilfs-utils 2.2.2-1
nmap 6.47-2
nodejs 0.12.0-1
nodejs-bower 1.3.12-1
nodejs-grunt-cli 0.1.13-3
noip 2.1.9-6
npth 1.1-1
nspr 4.10.8-1
nss 3.17.4-1
ntfs-3g 2014.2.15-1
ntop 5.0.1-6
nvdock 1.02-5
nvidia 346.35-6
nvidia-utils 346.35-2
opencl-nvidia 346.35-2
opencore-amr 0.1.3-2
openexr 2.1.0-1
openjpeg 1.5.2-1
openresolv 3.6.1-1
openssh 6.7p1-1
openssl 1.0.2-1
opus 1.1-1
orc 0.4.23-1
os-prober 1.64-1
p11-kit 0.22.1-3
p7zip 9.38-2
package-query 1.5-2
pacman 4.2.0-6
pacman-mirrorlist 20150205-1
pacmanxg4-bin 4.16.3-3
pam 1.1.8-5
pambase 20130928-1
pango 1.36.8-1
pangomm 2.34.0-1
parted 3.2-2
patch 2.7.4-1
pciutils 3.3.0-1
pcmciautils 018-7
pcre 8.36-2
perl 5.20.2-1
perl-encode-locale 1.04-1
perl-error 0.17023-1
perl-file-basedir 0.03-6
perl-file-desktopentry 0.08-1
perl-file-listing 6.04-2
perl-file-mimeinfo 0.26-1
perl-html-parser 3.71-3
perl-html-tagset 3.20-4
perl-http-cookies 6.01-2
perl-http-daemon 6.01-2
perl-http-date 6.02-2
perl-http-message 6.06-2
perl-http-negotiate 6.01-2
perl-libwww 6.08-1
perl-lwp-mediatypes 6.02-2
perl-net-http 6.07-1
perl-uri 1.65-1
perl-www-robotrules 6.02-2
php 5.6.5-1
pinentry 0.9.0-1
pixman 0.32.6-1
pkg-config 0.28-2
pkgfile 15-1
pluma 1.8.1-1
polkit 0.112-2
popcorntime-git r4492.cf01cdb-1
poppler 0.30.0-1
poppler-glib 0.30.0-1
popt 1.16-7
portaudio 19_20140130-1
postgresql-libs 9.4.1-1
primus 20150118-2
procps-ng 3.3.10-1
psmisc 22.21-2
pth 2.0.7-5
pulseaudio 6.0-1
pulseaudio-alsa 2-3
pygobject-devel 3.14.0-2
pygobject2-devel 2.28.6-11
pygtk 2.24.0-5
pygtksourceview2 2.10.1-5
pyqt4-common 4.11.3-2
python 3.4.2-2
python-dbus 1.2.0-4
python-dbus-common 1.2.0-4
python-docutils 0.12-1
python-gobject 3.14.0-2
python-xdg 0.25-2
python2 2.7.9-1
python2-cairo 1.10.0-2
python2-dbus 1.2.0-4
python2-gobject 3.14.0-2
python2-gobject2 2.28.6-11
python2-pyqt4 4.11.3-2
python2-setuptools 1:12.2-1
python2-sip 4.16.5-1
python2-urwid 1.3.0-1
python2-wnck 2.32.0-15
qemu 2.2.0-2
qt4 4.8.6-4
qtwebkit 2.3.4-1
randrproto 1.4.0-2
raptor 2.0.15-1
rarcrack 0.2-4
rasqal 1:0.9.32-1
readline 6.3.006-1
recode 3.6-8
recordproto 1.14.2-2
redland 1:1.0.17-2
reiserfsprogs 3.6.24-1
renderproto 0.11.1-3
rest 0.7.92-1
rfkill 0.5-1
rrdtool 1.4.9-1
rtkit 0.11-4
rtmpdump 20140918-2
ruby 2.2.0-1
s-nail 14.7.11-1
samba 4.1.16-1
sbc 1.3-1
schroedinger 1.0.11-2
screen 4.2.1-3
scrnsaverproto 1.2.2-2
sdl 1.2.15-7
sdl_image 1.2.12-3
seabios 1.7.5-2
sed 4.2.2-3
serf 1.3.8-1
shadow 4.2.1-2
shared-mime-info 1.4-1
sip 4.16.5-1
skype 4.3.0.37-3
slang 2.2.4-3
slim 1.3.6-5
slim-themes 1.2.3-7
smbclient 4.1.16-1
snappy 1.1.1-1
sound-theme-freedesktop 0.8-2
speech-dispatcher 0.8.1-1
speex 1.2rc2-1
speexdsp 1.2rc3-1
spice 0.12.5-1
spotify 0.9.11.27-1
sqlite 3.8.8.2-1
ssx 2.2-2
startup-notification 0.12-4
strace 4.9-1
sublime-text 2.0.2-1
subversion 1.8.11-2
sudo 1.8.12-1
sysfsutils 2.1.0-9
systemd 218-2
systemd-sysvcompat 218-2
t1lib 5.1.2-5
taglib 1.9.1-1
talloc 2.1.1-1
tar 1.28-1
tcp_wrappers 7.6-16
tcpdump 4.6.2-1
tdb 1.3.4-1
teamviewer 10.0.37742-1
tevent 0.9.22-1
texinfo 5.2-3
thin-provisioning-tools 0.4.1-1
thunderbird 31.4.0-1
tmux 1.9_a-1
tor-browser-en 4.0.3-2
transmission-cli 2.84-1
ttf-dejavu 2.34-2
ttf-ms-fonts 2.0-10
tzdata 2015a-1
udisks2 2.1.4-1
unrar 1:5.2.6-1
unzip 6.0-9
upower 0.99.2-1
usbredir 0.6-4
usbutils 008-1
util-linux 2.25.2-1
v4l-utils 1.6.2-1
vde2 2.3.2-6
vi 1:050325-4
videoproto 2.3.2-1
vim 7.4.617-1
vim-runtime 7.4.617-1
virtualgl 2.4-1
vlc 2.1.5-5
vte 0.28.2-5
vte-common 0.38.3-1
vte3 0.38.3-1
wayland 1.7.0-1
webrtc-audio-processing 0.1-2
wget 1.16.1-1
which 2.20-7
wine 1.7.36-1
wireless_tools 30.pre9-1
wireshark-cli 1.12.3-1
wireshark-gtk 1.12.3-1
wpa_supplicant 2.3-1
wxgtk 3.0.2-2
x265 1.5-1
xbitmaps 1.1.1-3
xcb-proto 1.11-1
xcb-util 0.4.0-1
xcb-util-keysyms 0.4.0-1
xchat 2.8.8-14
xdg-user-dirs 0.15-1
xdg-utils 1.1.0.git20141009-1
xextproto 7.3.0-1
xf86-input-evdev 2.9.1-1
xf86-input-synaptics 1.8.1-1
xf86-video-intel 2.99.917-3
xf86vidmodeproto 2.3.1-3
xfsprogs 3.2.2-1
xineramaproto 1.2.1-3
xkeyboard-config 2.14-1
xorg-appres 1.0.4-1
xorg-bdftopcf 1.0.5-1
xorg-font-util 1.3.0-2
xorg-font-utils 7.6-4
xorg-fonts-alias 1.0.3-1
xorg-fonts-encodings 1.0.4-4
xorg-fonts-misc 1.0.3-2
xorg-iceauth 1.0.7-1
xorg-luit 1.1.1-2
xorg-mkfontdir 1.0.7-2
xorg-mkfontscale 1.1.2-1
xorg-server 1.17.1-1
xorg-server-common 1.17.1-1
xorg-server-utils 7.6-4
xorg-sessreg 1.1.0-1
xorg-setxkbmap 1.3.0-2
xorg-twm 1.0.8-3
xorg-xauth 1.0.9-1
xorg-xbacklight 1.2.1-1
xorg-xcmsdb 1.0.4-2
xorg-xgamma 1.0.5-2
xorg-xhost 1.0.6-1
xorg-xinit 1.3.4-1
xorg-xinput 1.6.1-1
xorg-xkbcomp 1.3.0-1
xorg-xmodmap 1.0.8-1
xorg-xrandr 1.4.3-1
xorg-xrdb 1.1.0-1
xorg-xrefresh 1.0.5-1
xorg-xset 1.2.3-1
xorg-xsetroot 1.1.1-2
xproto 7.0.27-1
xscreensaver-arch-logo 5.32-1
xss-lock 0.3.0-2
xterm 314-1
xvidcore 1.3.3-1
xz 5.2.0-1
yajl 2.1.0-1
yaourt 1.5-1
yasm 1.3.0-1
zita-alsa-pcmi 0.2.0-2
zita-resampler 1.3.0-3
zlib 1.2.8-3
zvbi 0.2.35-1
